Carimbo de data/hora,Artificer [Alchemist],Artificer [Armorer],Artificer [Artillerist],Artificer [Battle Smith],Barbarian [Path of the Ancestral Guardian],Barbarian [Path of the Battlerager],Barbarian [Path of the Beast],Barbarian [Path of the Berserker],Barbarian [Path of the Storm Herald],Barbarian [Path of the Totem Warrior],Barbarian [Path of Wild Magic],Barbarian [Path of the Zealot],Bard [College of Creation],Bard [College of Eloquence],Bard [College of Glamour],Bard [College of Lore],Bard [College of Spirits],Bard [College of Swords],Bard [College of Valor],Bard [College of Whispers],Cleric [Arcana Domain],Cleric [Death Domain],Cleric [Forge Domain],Cleric [Grave Domain],Cleric [Knowledge Domain],Cleric [Life Domain],Cleric [Light Domain],Cleric [Nature Domain],Cleric [Order Domain],Cleric [Peace Domain],Cleric [Tempest Domain],Cleric [Trickery Domain],Cleric [Twilight Domain],Cleric [War Domain],Druid [Circle of Dreams],Druid [Circle of the Land],Druid [Circle of the Moon],Druid [Circle of the Shepherd],Druid [Circle of Spores],Druid [Circle of Stars],Druid [Circle of Wildfire],Fighter [Arcane Archer],Fighter [Banneret],Fighter [Battle Master],Fighter [Cavalier],Fighter [Champion],Fighter [Echo Knight],Fighter [Eldritch Knight],Fighter [Psi Warrior],Fighter [Rune Knight],Fighter [Samurai],Monk [Way of Mercy],Monk [Way of the Ascendant Dragon],Monk [Way of the Astral Self],Monk [Way of the Drunken Master],Monk [Way of the Four Elements],Monk [Way of the Kensei],Monk [Way of the Long Death],Monk [Way of the Open Hand],Monk [Way of Shadow],Monk [Way of the Sun Soul],Paladin [Oath of the Ancients],Paladin [Oath of Conquest],Paladin [Oath of the Crown],Paladin [Oath of Devotion],Paladin [Oath of Glory],Paladin [Oath of Redemption],Paladin [Oath of Vengeance],Paladin [Oath of the Watchers],Paladin [Oathbreaker],Ranger [Beast Master Conclave],Ranger [Drakewarden],Ranger [Fey Wanderer],Ranger [Gloom Stalker Conclave],Ranger [Horizon Walker Conclave],Ranger [Hunter Conclave],Ranger [Monster Slayer Conclave],Ranger [Swarmkeeper],Rogue [Arcane Trickster],Rogue [Assassin],Rogue [Inquisitive],Rogue [Mastermind],Rogue [Phantom],Rogue [Scout],Rogue [Soulknife],Rogue [Swashbuckler],Rogue [Thief],Sorcerer [Aberrant Mind],Sorcerer [Clockwork Soul],Sorcerer [Draconic Bloodline],Sorcerer [Divine Soul],Sorcerer [Shadow Magic],Sorcerer [Storm Sorcery],Sorcerer [Wild Magic],Warlock [Archfey],Warlock [Celestial],Warlock [Fathomless],Warlock [Fiend],Warlock [The Genie],Warlock [Great Old One],Warlock [Hexblade],Warlock [Undead],Warlock [Undying],Wizard [School of Abjuration],Wizard [School of Bladesinging],Wizard [School of Chronurgy],Wizard [School of Conjuration],Wizard [School of Divination],Wizard [School of Enchantment],Wizard [School of Evocation],Wizard [School of Graviturgy],Wizard [School of Illusion],Wizard [School of Necromancy],Wizard [Order of Scribes],Wizard [School of Transmutation],Wizard [School of War Magic],Cleric [Linha 15]
12/07/2022 01:29:07,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Love / Adora,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Neutral / Indiferente,Love / Adora,Neutral / Indiferente,Neutral / Indiferente,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Dislike / Não gosta,Like / Gosta,Neutral / Indiferente,Dislike / Não gosta,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Neutral / Indiferente,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Neutral / Indiferente,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Neutral / Indiferente,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Neutral / Indiferente,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Like / Gosta,Detest / Odeia,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Dislike / Não gosta,Neutral / Indiferente,Like / Gosta,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,
12/07/2022 02:13:28,Detest / Odeia,Neutral / Indiferente,Like / Gosta,Love / Adora,Like / Gosta,Detest / Odeia,Dislike / Não gosta,Neutral / Indiferente,Detest / Odeia,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Neutral / Indiferente,Love / Adora,Like / Gosta,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Neutral / Indiferente,Love / Adora,Love / Adora,Like / Gosta,Like / Gosta,Love / Adora,Like / Gosta,Neutral / Indiferente,Neutral / Indiferente,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Love / Adora,Neutral / Indiferente,Dislike / Não gosta,Neutral / Indiferente,Neutral / Indiferente,Detest / Odeia,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Neutral / Indiferente,Like / Gosta,Like / Gosta,Detest / Odeia,Like / Gosta,Like / Gosta,Like / Gosta,Like / Gosta,Neutral / Indiferente,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Neutral / Indiferente,Like / Gosta,Like / Gosta,Love / Adora,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Love / Adora,Neutral / Indiferente,Neutral / Indiferente,Neutral / Indiferente,Love / Adora,Like / Gosta,Like / Gosta,Love / Adora,Neutral / Indiferente,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Love / Adora,Dislike / Não gosta,Neutral / Indiferente,Neutral / Indiferente,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Neutral / Indiferente,Love / Adora,Love / Adora,Neutral / Indiferente,Love / Adora,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Love / Adora,Like / Gosta,Neutral / Indiferente,Love / Adora,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,
12/07/2022 03:37:27,Love / Adora,Detest / Odeia,Love / Adora,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Detest / Odeia,Never played / Nunca jogou,Love / Adora,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Love / Adora,Love / Adora,Love / Adora,Neutral / Indiferente,Like / Gosta,Neutral / Indiferente,Neutral / Indiferente,Neutral / Indiferente,Like / Gosta,Love / Adora,Like / Gosta,Neutral / Indiferente,Never played / Nunca jogou,Never played / Nunca jogou,Dislike / Não gosta,Love / Adora,Love / Adora,Love / Adora,Dislike / Não gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Love / Adora,Like / Gosta,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Like / Gosta,Detest / Odeia,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Love / Adora,Dislike / Não gosta,Dislike / Não gosta,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,
12/07/2022 03:40:22,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Dislike / Não gosta,Dislike / Não gosta,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Love / Adora,Dislike / Não gosta,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Love / Adora,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Love / Adora,Neutral / Indiferente,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Love / Adora,Detest / Odeia,Like / Gosta,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Love / Adora,Dislike / Não gosta,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Love / Adora,Dislike / Não gosta,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Love / Adora,Never played / Nunca jogou,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Neutral / Indiferente,Never played / Nunca jogou,Love / Adora,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Dislike / Não gosta,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Neutral / Indiferente,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,
12/07/2022 04:31:32,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,
12/07/2022 04:34:15,Dislike / Não gosta,Like / Gosta,Like / Gosta,Like / Gosta,Like / Gosta,Dislike / Não gosta,Like / Gosta,Neutral / Indiferente,Dislike / Não gosta,Neutral / Indiferente,Dislike / Não gosta,Neutral / Indiferente,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Love / Adora,Like / Gosta,Neutral / Indiferente,Love / Adora,Neutral / Indiferente,Like / Gosta,Like / Gosta,Neutral / Indiferente,Like / Gosta,Like / Gosta,Like / Gosta,Love / Adora,Detest / Odeia,Like / Gosta,Like / Gosta,Detest / Odeia,Dislike / Não gosta,Like / Gosta,Like / Gosta,Dislike / Não gosta,Like / Gosta,Neutral / Indiferente,Like / Gosta,Love / Adora,Neutral / Indiferente,Dislike / Não gosta,Like / Gosta,Neutral / Indiferente,Detest / Odeia,Neutral / Indiferente,Love / Adora,Like / Gosta,Neutral / Indiferente,Dislike / Não gosta,Like / Gosta,Neutral / Indiferente,Neutral / Indiferente,Dislike / Não gosta,Dislike / Não gosta,Neutral / Indiferente,Like / Gosta,Neutral / Indiferente,Neutral / Indiferente,Dislike / Não gosta,Like / Gosta,Love / Adora,Neutral / Indiferente,Like / Gosta,Neutral / Indiferente,Neutral / Indiferente,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Like / Gosta,Neutral / Indiferente,Like / Gosta,Like / Gosta,Neutral / Indiferente,Like / Gosta,Neutral / Indiferente,Like / Gosta,Love / Adora,Dislike / Não gosta,Dislike / Não gosta,Dislike / Não gosta,Neutral / Indiferente,Neutral / Indiferente,Neutral / Indiferente,Like / Gosta,Like / Gosta,Like / Gosta,Like / Gosta,Like / Gosta,Love / Adora,Like / Gosta,Dislike / Não gosta,Dislike / Não gosta,Neutral / Indiferente,Neutral / Indiferente,Like / Gosta,Love / Adora,Love / Adora,Neutral / Indiferente,Detest / Odeia,Neutral / Indiferente,Neutral / Indiferente,Like / Gosta,Like / Gosta,Detest / Odeia,Neutral / Indiferente,Like / Gosta,Love / Adora,Neutral / Indiferente,Neutral / Indiferente,Neutral / Indiferente,Neutral / Indiferente,Dislike / Não gosta,Neutral / Indiferente,Like / Gosta,
12/07/2022 07:19:37,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Love / Adora,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Neutral / Indiferente,Neutral / Indiferente,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Like / Gosta,Love / Adora,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,
12/07/2022 09:08:39,Never played / Nunca jogou,Neutral / Indiferente,Never played / Nunca jogou,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Like / Gosta,Never played / Nunca jogou,Like / Gosta,Like / Gosta,Love / Adora,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Neutral / Indiferente,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Neutral / Indiferente,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Neutral / Indiferente,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Dislike / Não gosta,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,
12/07/2022 09:47:34,Dislike / Não gosta,Like / Gosta,Love / Adora,Love / Adora,Like / Gosta,Neutral / Indiferente,Love / Adora,Dislike / Não gosta,Like / Gosta,Like / Gosta,Love / Adora,Like / Gosta,Neutral / Indiferente,Like / Gosta,Love / Adora,Love / Adora,Love / Adora,Love / Adora,Like / Gosta,Neutral / Indiferente,Love / Adora,Like / Gosta,Neutral / Indiferente,Love / Adora,Love / Adora,Neutral / Indiferente,Love / Adora,Dislike / Não gosta,Love / Adora,Detest / Odeia,Love / Adora,Like / Gosta,Like / Gosta,Neutral / Indiferente,Love / Adora,Like / Gosta,Like / Gosta,Like / Gosta,Love / Adora,Love / Adora,Love / Adora,Neutral / Indiferente,Dislike / Não gosta,Love / Adora,Love / Adora,Dislike / Não gosta,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Like / Gosta,Neutral / Indiferente,Like / Gosta,Love / Adora,Like / Gosta,Like / Gosta,Love / Adora,Like / Gosta,Like / Gosta,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Neutral / Indiferente,Like / Gosta,Like / Gosta,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Neutral / Indiferente,Like / Gosta,Love / Adora,Love / Adora,Neutral / Indiferente,Like / Gosta,Dislike / Não gosta,Love / Adora,Love / Adora,Love / Adora,Like / Gosta,Love / Adora,Like / Gosta,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Dislike / Não gosta,Love / Adora,Like / Gosta,Like / Gosta,Like / Gosta,Love / Adora,Like / Gosta,Dislike / Não gosta,Like / Gosta,Love / Adora,Dislike / Não gosta,Like / Gosta,Like / Gosta,Neutral / Indiferente,Like / Gosta,Love / Adora,Like / Gosta,Love / Adora,Love / Adora,Neutral / Indiferente,Neutral / Indiferente,Neutral / Indiferente,Dislike / Não gosta,Love / Adora,
12/07/2022 10:33:21,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Dislike / Não gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Detest / Odeia,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Like / Gosta,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Detest / Odeia,Love / Adora,Like / Gosta,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Like / Gosta,Love / Adora,Neutral / Indiferente,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Neutral / Indiferente,Dislike / Não gosta,Dislike / Não gosta,Like / Gosta,Never played / Nunca jogou,Like / Gosta,Neutral / Indiferente,Never played / Nunca jogou,Love / Adora,Like / Gosta,Never played / Nunca jogou,Love / Adora,Like / Gosta,Love / Adora,Love / Adora,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Love / Adora,Like / Gosta,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Dislike / Não gosta,Never played / Nunca jogou,Love / Adora,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,Never played / Nunca jogou,
